id,source
ParlaMint-NO_2013-12-04,s131204
ParlaMint-NO_2014-01-15,s140115
ParlaMint-NO_2013-04-16,s130416
ParlaMint-NO_2013-04-03,s130403
ParlaMint-NO_2014-06-13,s140613
ParlaMint-NO_2014-04-09,s140409
ParlaMint-NO_2013-06-18,s130618
ParlaMint-NO_2013-12-05,s131205
ParlaMint-NO_2013-11-12,s131112
ParlaMint-NO_2013-11-06,s131106
ParlaMint-NO_2014-02-25,s140225
ParlaMint-NO_2014-06-03,s140603
ParlaMint-NO_2013-03-14,s130314
ParlaMint-NO_2013-06-05,s130605
ParlaMint-NO_2013-06-17,s130617
ParlaMint-NO_2013-06-14,s130614
ParlaMint-NO_2014-01-08,s140108
ParlaMint-NO_2013-05-30,s130530
ParlaMint-NO_2013-11-26,s131126
ParlaMint-NO_2013-10-18,s131018
ParlaMint-NO_2014-01-16,s140116
ParlaMint-NO_2014-05-20,s140520
ParlaMint-NO_2014-01-30,s140130
ParlaMint-NO_2013-05-29,s130529
ParlaMint-NO_2013-05-07,s130507
ParlaMint-NO_2013-11-19,s131119
ParlaMint-NO_2013-12-18,s131218
ParlaMint-NO_2014-03-19,s140319
ParlaMint-NO_2013-10-22,s131022
ParlaMint-NO_2014-06-19,s140619
ParlaMint-NO_2014-04-23,s140423
ParlaMint-NO_2014-03-27,s140327
ParlaMint-NO_2013-04-09,s130409
ParlaMint-NO_2014-06-18,s140618
ParlaMint-NO_2013-11-08,s131108
ParlaMint-NO_2014-04-24,s140424
ParlaMint-NO_2013-11-27,s131127
ParlaMint-NO_2014-04-02,s140402
ParlaMint-NO_2013-02-07,s130207
ParlaMint-NO_2014-03-04,s140304
ParlaMint-NO_2013-12-17,s131217
ParlaMint-NO_2013-11-13,s131113
ParlaMint-NO_2017-11-15,refs-201718-11-15
ParlaMint-NO_2018-01-18,refs-201718-01-18
ParlaMint-NO_2018-06-13,refs-201718-06-13
ParlaMint-NO_2017-10-10,refs-201718-10-10
ParlaMint-NO_2017-12-05,refs-201718-12-05
ParlaMint-NO_2018-02-07,refs-201718-02-07
ParlaMint-NO_2018-03-08,refs-201718-03-08
ParlaMint-NO_2018-04-11,refs-201718-04-11
ParlaMint-NO_2017-11-28,refs-201718-11-28
ParlaMint-NO_2017-11-23,refs-201718-11-23
ParlaMint-NO_2018-05-22,refs-201718-05-22
ParlaMint-NO_2017-10-07,refs-201718-10-07
ParlaMint-NO_2018-05-03,refs-201718-05-03
ParlaMint-NO_2018-04-12,refs-201718-04-12
ParlaMint-NO_2017-10-17,refs-201718-10-17
ParlaMint-NO_2018-05-28,refs-201718-05-28
ParlaMint-NO_2018-05-07,refs-201718-05-07
ParlaMint-NO_2018-03-15,refs-201718-03-15
ParlaMint-NO_2018-03-06,refs-201718-03-06
ParlaMint-NO_2018-06-15,refs-201718-06-15
ParlaMint-NO_2017-10-18,refs-201718-10-18
ParlaMint-NO_2017-12-18,refs-201718-12-18
ParlaMint-NO_2017-11-22,refs-201718-11-22
ParlaMint-NO_2018-05-14,refs-201718-05-14
ParlaMint-NO_2017-10-11,refs-201718-10-11
